,time_stamp,service,average,p5,p95
0,2018-09-08 12:00:00,gas_station,1830.5696359052042,466.79232520325206,3998.765481239804
1,2018-09-09 12:00:00,gas_station,1830.5696359052042,466.79232520325206,3998.765481239804
2,2018-09-10 12:00:00,gas_station,1830.5696359052042,466.79232520325206,3998.765481239804
3,2018-09-11 12:00:00,gas_station,1842.3609457879181,479.4873636363637,3998.765481239804
4,2018-09-12 12:00:00,gas_station,1942.3042996639808,525.0713076923076,3998.765481239804
5,2018-09-13 12:00:00,gas_station,1977.4872070934096,526.7352122241086,4146.646
6,2018-09-14 12:00:00,gas_station,1986.2071703829436,529.2648611111111,4146.646
7,2018-09-15 12:00:00,gas_station,1986.8364346440221,529.5128571428571,4146.646
8,2018-09-16 12:00:00,gas_station,2029.784920090592,547.1072972972974,4220.185372645372
9,2018-09-17 12:00:00,gas_station,2275.526044200585,612.5044082840236,4903.122380952381
10,2018-09-18 12:00:00,gas_station,2628.4645916700797,656.7,6306.950526315789
11,2018-09-19 12:00:00,gas_station,3246.852673104156,756.3059016393444,8230.457333333334
12,2018-09-20 12:00:00,gas_station,2932.9732926426113,691.2,7064.419069767441
13,2018-09-21 12:00:00,gas_station,2696.919045527886,672.6284210526317,6305.603157894737
14,2018-09-22 12:00:00,gas_station,2666.9406731238932,665.7988636363636,6305.603157894737
15,2018-09-23 12:00:00,gas_station,2317.1890554456327,640.7719254658384,4786.5066367403315
16,2018-09-24 12:00:00,gas_station,2265.5314353101394,630.489963768116,4786.219482044199
17,2018-09-25 12:00:00,gas_station,2199.8129172484914,607.8642253521127,4786.155669889503
18,2018-09-26 12:00:00,gas_station,2171.179792960867,581.8626086956522,4786.155669889503
19,2018-09-27 12:00:00,gas_station,2084.803710026793,561.9401030927835,4343.3518096723865
20,2018-09-28 12:00:00,gas_station,2071.517480398881,553.784705882353,4343.3518096723865
21,2018-09-29 12:00:00,gas_station,2048.1757232307186,546.1284444444444,4376.982477876106
22,2018-09-30 12:00:00,gas_station,2048.1757232307186,546.1284444444444,4376.982477876106
23,2018-10-01 12:00:00,gas_station,2036.5928059328849,526.9526395939087,4376.982477876106
24,2018-10-02 12:00:00,gas_station,2076.6242797298028,526.953654822335,4806.93
25,2018-10-03 12:00:00,gas_station,2010.7589079623226,526.9577157360407,4291.559764705882
26,2018-10-04 12:00:00,gas_station,2039.092194585206,578.316724137931,4291.559764705882
27,2018-10-05 12:00:00,gas_station,2099.8608357552043,526.9495939086295,4826.2515568022445
28,2018-10-06 12:00:00,gas_station,1994.894794416457,526.68414910859,4291.559764705882
29,2018-10-07 12:00:00,gas_station,1980.4994587179956,526.4760453808752,4291.559764705882
30,2018-10-08 12:00:00,gas_station,1993.739532336296,526.7495939086294,4298.907518427518
31,2018-10-09 12:00:00,gas_station,1830.5696359052042,466.79232520325206,3998.765481239804
32,2018-09-08 12:00:00,supermarket,3265.8321448484458,839.4901809954752,8525.255158371037
33,2018-09-09 12:00:00,supermarket,3265.8321448484458,839.4901809954752,8525.255158371037
34,2018-09-10 12:00:00,supermarket,3265.8321448484458,839.4901809954752,8525.255158371037
35,2018-09-11 12:00:00,supermarket,3265.8321448484458,839.4901809954752,8525.255158371037
36,2018-09-12 12:00:00,supermarket,3366.522079568948,862.6008928571429,8525.255158371037
37,2018-09-13 12:00:00,supermarket,inf,inf,inf
38,2018-09-14 12:00:00,supermarket,inf,inf,inf
39,2018-09-15 12:00:00,supermarket,8255.608403933547,2325.86990521327,18650.019084507043
40,2018-09-16 12:00:00,supermarket,4701.44658183128,1142.3593750000002,12282.387066666664
41,2018-09-17 12:00:00,supermarket,4701.44658183128,1142.3593750000002,12282.387066666664
42,2018-09-18 12:00:00,supermarket,4058.748699590955,995.4667605633803,11721.807558139531
43,2018-09-19 12:00:00,supermarket,4057.8843980519773,995.4667605633803,11721.807558139531
44,2018-09-20 12:00:00,supermarket,3926.3143782658253,954.4462352941177,11619.012999999999
45,2018-09-21 12:00:00,supermarket,3869.870135739908,943.688,11619.012999999999
46,2018-09-22 12:00:00,supermarket,3314.7777043129863,880.7708839779006,8525.255158371037
47,2018-09-23 12:00:00,supermarket,3314.7777043129863,880.7708839779006,8525.255158371037
48,2018-09-24 12:00:00,supermarket,3314.7777043129863,880.7708839779006,8525.255158371037
49,2018-09-25 12:00:00,supermarket,3314.7777043129863,880.7708839779006,8525.255158371037
50,2018-09-26 12:00:00,supermarket,3314.7777043129863,880.7708839779006,8525.255158371037
51,2018-09-27 12:00:00,supermarket,3265.8321448484458,839.4901809954752,8525.255158371037
52,2018-09-28 12:00:00,supermarket,3265.8321448484458,839.4901809954752,8525.255158371037
53,2018-09-29 12:00:00,supermarket,3265.8321448484458,839.4901809954752,8525.255158371037
54,2018-09-30 12:00:00,supermarket,3265.8321448484458,839.4901809954752,8525.255158371037
55,2018-10-01 12:00:00,supermarket,3265.8321448484458,839.4901809954752,8525.255158371037
56,2018-10-02 12:00:00,supermarket,3265.8321448484458,839.4901809954752,8525.255158371037
57,2018-10-03 12:00:00,supermarket,3265.8321448484458,839.4901809954752,8525.255158371037
58,2018-10-04 12:00:00,supermarket,3265.8321448484458,839.4901809954752,8525.255158371037
59,2018-10-05 12:00:00,supermarket,3265.8321448484458,839.4901809954752,8525.255158371037
60,2018-10-06 12:00:00,supermarket,3265.8321448484458,839.4901809954752,8525.255158371037
61,2018-10-07 12:00:00,supermarket,3265.8321448484458,839.4901809954752,8525.255158371037
62,2018-10-08 12:00:00,supermarket,3265.8321448484458,839.4901809954752,8525.255158371037
63,2018-10-09 12:00:00,supermarket,3265.8321448484458,839.4901809954752,8525.255158371037
